nuts,September Mean Temperature (Â°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,15.718409
DE60,15.654718
DE71,15.779261
DE72,14.865534
DE73,14.674036
DE80,15.542322
DE91,15.194544
BG41,17.480127
BG42,19.178675
CH01,11.747004
AT32,11.354792
AT33,10.010675
AT34,11.252283
BE10,16.439478
BE23,16.585627
BE24,16.383936
BE25,16.796473
BE31,16.147608
BE32,16.180841
BE33,15.02215
BE34,14.867945
BE35,15.458216
BG31,19.656275
BG32,19.824274
BG33,19.804987
BG34,20.276789
DE92,15.645594
DE93,15.731379
DE94,15.923456
CZ07,15.1047
CZ08,14.853388
AL01,19.43255
AL02,20.307032
AL03,20.699488
AT11,17.172846
AT12,15.839106
AT13,17.190424
AT21,12.992945
AT22,13.586634
AT31,14.627405
DK05,15.1184025
BE21,16.477442
BE22,16.216578
ES43,24.327723
ES51,20.503504
ES52,22.780603
ES53,25.32464
ES61,24.193933
ES62,23.615168
ES63,22.946436
ES64,25.90597
CH02,13.391535
CH03,15.819452
CH04,15.511652
CH05,11.453882
CH06,12.606806
CH07,13.851465
CY00,27.402216
CZ01,16.006464
CZ02,15.431421
CZ03,14.554163
CZ04,14.359156
CZ05,14.6696415
CZ06,15.789576
DE40,15.888575
EL53,19.481623
EL54,20.72323
EL61,22.410791
EL62,24.627405
EL63,22.70785
ES70,23.510828
ITC1,16.423029
ITC2,10.75271
DE11,15.441767
DE12,15.882135
DE13,15.599512
DE14,14.939234
DE21,14.834345
DE22,15.400476
DE23,14.897028
DE24,14.673578
DE25,15.364862
DE26,15.3276005
DE27,14.296625
DE30,15.966059
EL42,25.182428
LV00,13.4117985
ME00,17.518305
MK00,19.157892
MT00,26.245325
NL11,16.074457
NL12,16.715631
EL64,22.927881
EL65,23.867243
ES11,18.772486
ES12,17.727076
ES13,18.353601
ES21,19.020685
ES22,19.244776
ES23,18.606104
ES24,20.08401
ES30,21.855524
IE05,14.887232
IE06,14.628565
IS00,7.640863
ITC3,20.132593
FI19,11.418421
FI1B,12.926233
FI1C,12.403223
DEA1,16.180231
DEA2,15.34939
DEA3,15.96496
DEA4,15.433863
DEA5,14.877314
DEB1,15.149805
DEB2,14.756617
DEB3,16.206873
DEC0,15.611048
DED2,15.326227
DED4,14.509363
DED5,16.179773
DEE0,15.80044
DEF0,15.605463
DEG0,14.848932
DK01,15.607416
DK02,15.740259
DK03,15.279261
DK04,14.989893
ES41,19.357904
ES42,22.434168
HU23,18.48089
HU31,17.70901
HU32,18.777094
HU33,18.944208
IE04,14.530756
EE00,13.389978
EL30,25.238764
EL41,24.21374
EL43,25.009974
EL51,21.665308
EL52,22.39596
FI20,14.443201
FR10,17.225794
FRB0,17.822412
FRC1,17.460413
FRC2,16.545008
FRD1,16.94488
FRD2,16.751062
FRE1,16.505
FRE2,16.635462
FRF1,16.24798
NL13,15.811579
NL21,15.953913
NL22,16.11703
NL23,16.351648
NL31,16.221735
NL32,16.969568
ITG2,23.195734
ITH1,10.247889
ITH2,13.595667
FRI3,18.757929
FRJ1,18.937647
FRJ2,18.083002
FRK1,16.353418
FRK2,16.030176
FRL0,18.380976
FRM0,22.151697
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,24.271448
TR32,24.261377
TR33,21.372309
HR03,20.243555
HR02,18.79394
HU11,18.247156
HU12,18.154566
HU21,17.985315
HU22,18.004236
PT16,21.472132
PT17,22.062128
FRF2,16.558039
FRF3,16.012873
FRG0,17.996485
FRH0,17.3854
FRI1,19.578272
FRI2,17.228174
ITC4,17.98028
ITF1,19.424402
ITF2,20.41833
ITF3,21.559961
ITF4,23.429255
ITF5,21.689997
ITF6,22.846613
ITG1,24.362268
LT01,13.484858
LT02,13.78927
LU00,14.826715
PL22,15.16604
PL41,15.543146
PL42,15.332605
PT18,23.720331
PT20,-273.15
PT30,-273.15
RO11,16.147242
RO12,14.972956
RO21,16.185175
RO22,19.478174
RO31,19.028925
RO32,20.242823
ITH3,18.60937
ITH4,17.326471
ITH5,20.784235
ITI1,21.16189
ITI2,19.775019
ITI3,20.632532
ITI4,20.727839
LI00,12.874598
FI1D,9.652643
TR82,18.904596
TR83,19.346552
TR90,17.392176
TRA1,16.46667
TRA2,14.528437
PL43,15.8935795
PL51,15.192591
PL52,15.639795
PL61,15.036402
PL62,14.420923
PL63,14.896784
PL71,15.302668
PL72,15.317194
PL81,15.072351
PL82,15.070032
PL84,14.235041
PL91,14.935175
PL92,14.812006
PT11,19.965265
PT15,23.249323
TRB1,21.252436
TRB2,19.359919
TRC1,25.78808
RS12,19.673853
RS21,17.860743
RS22,18.40597
SE11,13.880884
SE12,13.052607
NL33,16.703089
NL34,16.860987
NL41,16.405725
NL42,16.255121
PL21,14.61471
UKM6,13.320246
TR22,22.304682
TRC2,27.23681
TRC3,27.319391
UKC1,14.2434635
UKC2,14.063044
UKD1,13.985376
UKD3,14.546991
UKD4,14.614893
UKD6,15.038782
UKD7,15.526789
UKE1,15.500208
UKE2,14.415613
UKE3,15.037806
RO41,18.771906
RO42,17.551386
RS11,19.873316
TR41,20.960657
TR42,20.029871
TR51,20.858912
TR52,21.28338
TR61,22.375788
TR62,23.53921
TR63,23.871637
TR71,21.153467
TR72,18.769403
TR81,19.21197
UKK1,15.738642
UKK2,16.226221
UKK3,16.58996
UKK4,16.074793
UKL1,15.309961
UKL2,14.666468
UKM5,13.186487
UKM7,13.010889
UKM8,13.676081
UKM9,13.901911
UKN0,14.30755
SE21,13.653925
SE22,14.335993
SE23,13.5324955
SE31,11.431086
SE32,9.741938
SE33,8.904963
SI03,16.952204
SI04,16.896296
SK01,17.59939
SK02,16.867853
SK03,14.531092
SK04,15.109339
TR10,22.567621
TR21,22.247492
UKE4,14.439386
UKF1,15.064081
UKF2,15.593744
UKF3,15.817896
UKG1,15.322992
UKG2,14.839167
UKG3,15.370691
UKH1,16.232172
UKH2,15.933588
UKH3,16.416468
UKI3,16.19082
UKI4,16.19082
UKI5,16.136591
UKI6,16.106958
UKI7,16.03039
UKJ1,15.710596
UKJ2,16.57406
UKJ3,16.35998
UKJ4,16.702814
NO09,11.145899
NO0A,10.52157
NO0B,6.911981
HR05,18.83227
HR06,18.490625
NO02,8.567377
NO06,9.98559
NO07,9.071283
NO08,10.482386
