nuts,Summer Mean Temperature (Â°C) (1981 - 2010)
DE50,16.812006
DE60,16.719355
DE71,17.707941
DE72,16.594019
DE73,16.33407
DE80,16.981379
DE91,16.78219
BG41,18.762293
BG42,20.497522
CH01,12.800745
AT32,12.586725
AT33,11.0029545
AT34,12.383173
BE10,17.347406
BE23,17.266474
BE24,17.356592
BE25,17.044886
BE31,17.103785
BE32,17.037317
BE33,16.271997
BE34,16.30691
BE35,16.633997
BG31,21.653955
BG32,21.702051
BG33,21.432673
BG34,21.688807
DE92,17.080927
DE93,17.054956
DE94,16.771235
CZ07,17.326715
CZ08,17.048975
AL01,20.292658
AL02,21.231958
AL03,21.48794
AT11,19.464197
AT12,17.946985
AT13,19.558496
AT21,14.464014
AT22,15.318872
AT31,16.422632
DK05,15.609095
BE21,17.463709
BE22,17.396479
ES43,24.31637
ES51,20.760126
ES52,22.908442
ES53,23.875238
ES61,24.219172
ES62,23.842554
ES63,21.637842
ES64,24.99792
CH02,14.753321
CH03,17.58578
CH04,17.252314
CH05,12.539148
CH06,13.659967
CH07,14.850061
CY00,26.417566
CZ01,18.10229
CZ02,17.526606
CZ03,16.613855
CZ04,16.45852
CZ05,16.76275
CZ06,18.008844
DE40,17.896662
EL53,20.605738
EL54,21.505457
EL61,23.258753
EL62,23.599848
EL63,23.104181
ES70,20.858881
ITC1,17.423944
ITC2,11.572474
DE11,17.465723
DE12,17.88656
DE13,17.494135
DE14,16.838892
DE21,16.632868
DE22,17.501276
DE23,17.022913
DE24,16.711206
DE25,17.4768
DE26,17.328089
DE27,16.07049
DE30,18.089869
EL42,23.780054
LV00,16.422876
ME00,18.53155
MK00,20.436487
MT00,24.24502
NL11,16.392542
NL12,16.194117
EL64,23.703882
EL65,24.074854
ES11,17.588007
ES12,16.568598
ES13,17.327326
ES21,18.075434
ES22,19.257746
ES23,18.457575
ES24,20.804285
ES30,22.67779
IE05,14.527491
IE06,14.650751
IS00,7.9373717
ITC3,20.282923
FI19,14.953516
FI1B,15.57168
FI1C,15.600885
DEA1,17.533472
DEA2,16.763391
DEA3,17.352686
DEA4,16.882837
DEA5,16.373255
DEB1,16.858698
DEB2,16.462244
DEB3,18.172419
DEC0,17.520563
DED2,17.385828
DED4,16.402918
DED5,18.027643
DEE0,17.57287
DEF0,16.415094
DEG0,16.607874
DK01,16.198664
DK02,16.379663
DK03,15.911676
DK04,15.613184
ES41,19.34173
ES42,23.244928
HU23,20.807611
HU31,20.273737
HU32,21.261866
HU33,21.320673
IE04,14.2148075
EE00,16.144007
EL30,25.39474
EL41,23.855005
EL43,24.317835
EL51,22.769495
EL52,23.582422
FI20,14.744349
FR10,18.234125
FRB0,18.796839
FRC1,18.894587
FRC2,18.148645
FRD1,16.875483
FRD2,16.997217
FRE1,16.884241
FRE2,17.405237
FRF1,18.13833
NL13,16.558191
NL21,16.9078
NL22,17.15307
NL23,16.745203
NL31,16.917383
NL32,16.328028
ITG2,23.009455
ITH1,11.191553
ITH2,14.565058
FRI3,19.405787
FRJ1,19.635096
FRJ2,18.697504
FRK1,17.518946
FRK2,17.263453
FRL0,18.987177
FRM0,21.808985
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,24.965815
TR32,24.659784
TR33,22.24325
HR03,21.485163
HR02,20.919855
HU11,20.73797
HU12,20.630335
HU21,20.385492
HU22,20.37646
PT16,20.736261
PT17,20.51858
FRF2,17.97793
FRF3,17.778101
FRG0,18.354273
FRH0,16.76797
FRI1,19.899652
FRI2,18.240656
ITC4,19.36468
ITF1,20.452204
ITF2,21.397577
ITF3,22.02569
ITF4,24.1448
ITF5,22.623041
ITF6,22.935358
ITG1,23.869867
LT01,16.805597
LT02,16.727228
LU00,16.454126
PL22,17.536615
PL41,17.886133
PL42,17.104303
PT18,22.85647
PT20,-273.15
PT30,20.419855
RO11,18.278925
RO12,16.94491
RO21,18.595453
RO22,21.604242
RO31,21.257288
RO32,22.485834
ITH3,19.868708
ITH4,18.789454
ITH5,22.194635
ITI1,21.678064
ITI2,21.080286
ITI3,21.876978
ITI4,21.473383
LI00,13.84115
FI1D,13.54751
TR82,19.537745
TR83,20.008722
TR90,17.103937
TRA1,16.515467
TRA2,16.672205
PL43,18.190973
PL51,17.40359
PL52,17.9992
PL61,17.363672
PL62,16.945978
PL63,16.613459
PL71,17.94082
PL72,17.980799
PL81,18.019098
PL82,17.64245
PL84,17.266901
PL91,17.852869
PL92,17.665888
PT11,19.545374
PT15,21.960138
TRB1,22.102869
TRB2,18.978449
TRC1,26.650324
RS12,21.841211
RS21,19.507166
RS22,20.19433
SE11,15.496393
SE12,15.679987
NL33,16.835474
NL34,17.153284
NL41,17.407923
NL42,17.492456
PL21,16.981989
UKM6,12.484247
TR22,23.09292
TRC2,28.633722
TRC3,26.221796
UKC1,14.119837
UKC2,13.908625
UKD1,13.843561
UKD3,14.670404
UKD4,14.4778385
UKD6,15.176325
UKD7,15.260828
UKE1,15.267237
UKE2,14.363672
UKE3,15.252527
RO41,20.977106
RO42,19.432734
RS11,21.931757
TR41,21.76098
TR42,20.544092
TR51,21.896204
TR52,22.094019
TR61,22.733637
TR62,23.276575
TR63,23.67074
TR71,22.120142
TR72,19.174738
TR81,19.642145
UKK1,15.941614
UKK2,15.788019
UKK3,15.486414
UKK4,15.3554325
UKL1,14.6817875
UKL2,14.718409
UKM5,12.791498
UKM7,13.072016
UKM8,13.727808
UKM9,13.586481
UKN0,13.9685
SE21,15.540125
SE22,15.745813
SE23,15.593775
SE31,14.475306
SE32,12.661463
SE33,11.969477
SI03,18.971857
SI04,18.605097
SK01,19.991663
SK02,19.184534
SK03,16.759302
SK04,17.469568
TR10,23.018732
TR21,23.314936
UKE4,14.606684
UKF1,15.342981
UKF2,15.96673
UKF3,15.901667
UKG1,15.637293
UKG2,15.076532
UKG3,15.7199955
UKH1,16.030298
UKH2,16.315943
UKH3,16.418177
UKI3,16.532862
UKI4,16.532862
UKI5,16.48263
UKI6,16.465845
UKI7,16.384912
UKJ1,16.086512
UKJ2,16.163538
UKJ3,16.159784
UKJ4,16.421808
NO09,13.121485
NO0A,11.477045
NO0B,3.9737792
HR05,21.016382
HR06,20.690973
NO02,11.5534
NO06,11.529993
NO07,10.285456
NO08,13.269648
