nuts,February Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,53.800552
DE60,54.271465
DE71,57.581333
DE72,58.942123
DE73,57.566277
DE80,46.320374
DE91,54.119766
BG41,58.04212
BG42,61.020966
CH01,121.11482
AT32,91.4978
AT33,91.21675
AT34,112.01598
BE10,61.090412
BE23,58.740936
BE24,62.404713
BE25,56.934456
BE31,64.66153
BE32,64.43682
BE33,76.1056
BE34,78.13186
BE35,73.883606
BG31,46.364185
BG32,46.82395
BG33,46.318718
BG34,54.423203
DE92,53.343513
DE93,53.25105
DE94,55.84038
CZ07,49.309883
CZ08,53.49936
AL01,149.27939
AL02,112.39419
AL03,113.99121
AT11,44.24034
AT12,49.4623
AT13,43.029957
AT21,67.60096
AT22,67.45229
AT31,79.8732
DK05,56.66158
BE21,61.370358
BE22,66.678154
ES43,56.129566
ES51,43.9685
ES52,31.821772
ES53,33.758415
ES61,49.345882
ES62,26.967241
ES63,70.2657
ES64,31.435648
CH02,112.07722
CH03,87.333206
CH04,85.48121
CH05,86.123535
CH06,114.40065
CH07,78.65129
CY00,56.91567
CZ01,37.77892
CZ02,42.188183
CZ03,48.458294
CZ04,46.76994
CZ05,51.855118
CZ06,41.269146
DE40,44.60883
EL53,72.93012
EL54,134.54196
EL61,94.24931
EL62,127.487144
EL63,124.39678
ES70,1.4148449
ITC1,71.05411
ITC2,88.53803
DE11,64.16762
DE12,72.834625
DE13,80.52733
DE14,71.3788
DE21,76.898964
DE22,61.702843
DE23,59.671204
DE24,59.615906
DE25,57.777027
DE26,59.372555
DE27,78.26431
DE30,42.965252
EL42,77.55642
LV00,44.926216
ME00,147.55122
MK00,64.451416
MT00,51.80848
NL11,55.192993
NL12,57.03033
EL64,87.946846
EL65,84.71559
ES11,117.605385
ES12,109.07839
ES13,96.6177
ES21,104.39603
ES22,76.22177
ES23,56.237713
ES24,41.265762
ES30,42.30931
IE05,87.91826
IE06,68.95224
IS00,142.02629
ITC3,78.56109
FI19,35.22384
FI1B,43.882072
FI1C,40.17554
DEA1,67.14884
DEA2,73.671394
DEA3,61.10708
DEA4,59.101418
DEA5,76.151146
DEB1,61.5972
DEB2,67.30202
DEB3,57.74203
DEC0,70.872215
DED2,52.59072
DED4,57.09167
DED5,48.40633
DEE0,45.241146
DEF0,53.638557
DEG0,50.815327
DK01,48.185173
DK02,47.122116
DK03,55.61612
DK04,56.362144
ES41,55.613426
ES42,40.99872
HU23,53.58244
HU31,43.662746
HU32,44.30961
HU33,47.53967
IE04,96.11405
EE00,42.025356
EL30,57.897083
EL41,88.91831
EL43,74.44616
EL51,69.38193
EL52,66.409706
FI20,35.858177
FR10,58.71549
FRB0,62.31417
FRC1,78.52553
FRC2,113.11464
FRD1,70.383835
FRD2,62.473244
FRE1,61.82506
FRE2,61.517357
FRF1,80.06464
NL13,51.5589
NL21,54.16277
NL22,58.02879
NL23,56.082764
NL31,56.756832
NL32,59.190815
ITG2,52.693314
ITH1,62.435085
ITH2,65.67531
FRI3,65.75584
FRJ1,66.28913
FRJ2,79.39519
FRK1,73.08561
FRK2,87.14031
FRL0,59.19074
FRM0,63.710533
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,101.06691
TR32,99.78342
TR33,63.18099
HR03,112.0298
HR02,67.215225
HU11,40.198895
HU12,41.15635
HU21,45.96381
HU22,48.00081
PT16,79.41292
PT17,58.79314
FRF2,73.828384
FRF3,77.918304
FRG0,62.775406
FRH0,77.69378
FRI1,80.21332
FRI2,85.19589
ITC4,62.15949
ITF1,76.52341
ITF2,74.978516
ITF3,108.11069
ITF4,58.050537
ITF5,69.2213
ITF6,93.12012
ITG1,68.077446
LT01,45.773132
LT02,44.970047
LU00,70.27802
PL22,55.23075
PL41,43.38746
PL42,46.912178
PT18,53.928818
PT20,0.0
PT30,0.0
RO11,55.170757
RO12,46.611122
RO21,39.94283
RO22,38.4699
RO31,42.09039
RO32,39.545807
ITH3,68.8299
ITH4,88.85712
ITH5,67.16683
ITI1,75.532364
ITI2,79.771675
ITI3,66.45621
ITI4,94.642365
LI00,119.54854
FI1D,36.46876
TR82,66.9454
TR83,62.46471
TR90,90.004845
TRA1,54.048695
TRA2,1.9250263
PL43,46.6869
PL51,51.69757
PL52,47.44254
PL61,41.325203
PL62,45.7891
PL63,46.542984
PL71,45.07158
PL72,43.442463
PL81,44.777058
PL82,54.69237
PL84,43.97831
PL91,46.194447
PL92,45.30503
PT11,98.581245
PT15,47.291004
TRB1,93.39284
TRB2,6.660607
TRC1,88.08399
RS12,50.571224
RS21,60.41846
RS22,54.39312
SE11,36.772556
SE12,37.38654
NL33,58.09978
NL34,58.071033
NL41,59.81598
NL42,63.762314
PL21,55.723366
UKM6,124.40327
TR22,84.27172
TRC2,82.40961
TRC3,17.252844
UKC1,65.04364
UKC2,63.03055
UKD1,97.9947
UKD3,80.76027
UKD4,92.7845
UKD6,65.26541
UKD7,72.60288
UKE1,49.637398
UKE2,66.308075
UKE3,55.368744
RO41,51.54221
RO42,59.42575
RS11,51.145813
TR41,58.229977
TR42,72.84116
TR51,49.099857
TR52,51.772705
TR61,92.52026
TR62,89.26447
TR63,94.76547
TR71,46.861305
TR72,54.35581
TR81,81.762436
UKK1,54.41155
UKK2,63.01118
UKK3,81.305786
UKK4,72.75239
UKL1,93.608
UKL2,76.64435
UKM5,67.75933
UKM7,92.32847
UKM8,118.133965
UKM9,95.40111
UKN0,81.6254
SE21,44.845654
SE22,50.882423
SE23,50.241615
SE31,39.68684
SE32,48.549137
SE33,48.283092
SI03,73.74493
SI04,86.91037
SK01,43.01685
SK02,50.210068
SK03,57.086075
SK04,52.234814
TR10,69.020805
TR21,66.5595
UKE4,67.828125
UKF1,54.72336
UKF2,46.50637
UKF3,45.331455
UKG1,52.431625
UKG2,58.60672
UKG3,51.917183
UKH1,48.059055
UKH2,45.016598
UKH3,48.298477
UKI3,48.264656
UKI4,48.264656
UKI5,45.965878
UKI6,50.66812
UKI7,46.13595
UKJ1,48.225803
UKJ2,56.690285
UKJ3,56.61655
UKJ4,55.03475
NO09,98.78817
NO0A,177.24821
NO0B,56.385666
HR05,66.3674
HR06,64.54176
NO02,52.956463
NO06,103.369675
NO07,85.58965
NO08,58.325638
