nuts,April Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,0.8276531433065732
DE60,0.7887455761432648
DE71,0.7631249077618122
DE72,0.7683812109132607
DE73,0.7193019994135413
DE80,0.6527898170674841
DE91,0.7941544936969877
BG41,0.8613324940204621
BG42,0.6728543574611346
CH01,0.82066787413011
AT32,1.2548606906618391
AT33,1.220785521964232
AT34,0.9971964185436567
BE10,0.7496870885292689
BE23,0.7365043043558087
BE24,0.857206720326628
BE25,0.7880445952926364
BE31,0.8436817154288292
BE32,0.8093074162801107
BE33,0.7528023457686815
BE34,0.8982088029384613
BE35,0.7746687937261802
BG31,0.7179349351541272
BG32,0.6161436654627324
BG33,0.5248981034383178
BG34,0.7848023254690426
DE92,0.8492040554682414
DE93,0.759029887864987
DE94,0.8305579550564289
CZ07,0.9285299186905225
CZ08,0.9613790130242705
AL01,0.7259122018835374
AL02,0.857531005765001
AL03,0.6854166623204947
AT11,0.694889101634423
AT12,0.9150869452527591
AT13,0.7499565482139587
AT21,0.973672534028689
AT22,1.0538157711426417
AT31,1.1821515829612812
DK05,0.7897362401088078
BE21,0.7478103520614761
BE22,0.6413748765985171
ES43,0.39907488891234
ES51,0.48456522735456625
ES52,0.4174321199456851
ES53,0.4129232785354058
ES61,0.36596746935198704
ES62,0.4055760289231936
ES63,0.18879533608754476
ES64,0.3333333333333333
CH02,0.9339971984426181
CH03,0.9795162051916122
CH04,0.8256124551097552
CH05,0.944393886004885
CH06,0.84546302780509
CH07,0.8428983442485333
CY00,0.17055793958050863
CZ01,0.8266527478893598
CZ02,0.891712138739725
CZ03,1.002685582637787
CZ04,0.8812354332456986
CZ05,0.9930887828270595
CZ06,0.8687206198062215
DE40,0.7136583926156164
EL53,0.6459780537656375
EL54,0.5473150374988714
EL61,0.5371211008168757
EL62,0.40012632720172403
EL63,0.47544551926354567
ES70,0.008906711425100054
ITC1,0.6876996234680216
ITC2,0.6929279203216235
DE11,0.7591501966118812
DE12,0.7585451466341814
DE13,0.8277060707410177
DE14,0.8814844726274411
DE21,1.0255020151713066
DE22,0.9077409136419495
DE23,0.7895601851865649
DE24,0.6873828031122684
DE25,0.7139693026297859
DE26,0.7168349112073581
DE27,0.9052118940278888
DE30,0.7375951061646143
EL42,0.27095020026899874
LV00,0.8167780485004187
ME00,0.7439665508766969
MK00,0.7688490378537348
MT00,0.20832018554210663
NL11,0.7602400330205759
NL12,0.678509296104312
EL64,0.5235879121880446
EL65,0.36041583139449357
ES11,0.6402179673624535
ES12,0.7351941455776493
ES13,0.8735947296023369
ES21,0.7983647577464581
ES22,0.7021895142892997
ES23,0.7265473566949368
ES24,0.6174798207357526
ES30,0.6376305223841753
IE05,0.690654511253039
IE06,0.537148281599262
IS00,1.0113929989082473
ITC3,0.7199596746514241
FI19,0.6644564243188749
FI1B,0.7519849048927426
FI1C,0.7328216242914398
DEA1,0.8628331969625184
DEA2,0.927184846997261
DEA3,0.8375101511677107
DEA4,0.8528195721407731
DEA5,0.8797504914303621
DEB1,0.7353504203259945
DEB2,0.7184150247524183
DEB3,0.639509258295099
DEC0,0.6609248019754886
DED2,0.7606850448729736
DED4,0.8401258651167154
DED5,0.6935170033325752
DEE0,0.6842427621285121
DEF0,0.7564396422356368
DEG0,0.7142819338788589
DK01,0.5688543448845546
DK02,0.568736893311143
DK03,0.8138356796155374
DK04,0.6725601093222697
ES41,0.6211897914430925
ES42,0.5541148094770809
HU23,0.6739008139951953
HU31,0.7495165282239517
HU32,0.7480001059671243
HU33,0.7826818579186996
IE04,0.8074216005702813
EE00,0.8467355578073433
EL30,0.2801537266621987
EL41,0.3287363392611345
EL43,0.21764781860013802
EL51,0.5102466293300192
EL52,0.5217365363080587
FI20,0.6162180795023838
FR10,0.5242199705913663
FRB0,0.639013509824872
FRC1,0.803306159346054
FRC2,0.7739617603520552
FRD1,0.7973929575333992
FRD2,0.6830927190769996
FRE1,0.8420020827402671
FRE2,0.7177547581493855
FRF1,0.6884641261150439
NL13,0.7503095684306962
NL21,0.7374531015753746
NL22,0.8069927449027697
NL23,0.6604442263642947
NL31,0.8376753131548563
NL32,0.6538514705995718
ITG2,0.5772452420244615
ITH1,0.9768771482010682
ITH2,0.8917034978667895
FRI3,0.6024543554211657
FRJ1,0.5902890833405157
FRJ2,0.7708378697435061
FRK1,0.791153750816981
FRK2,0.7556635112812121
FRL0,0.665246956795454
FRM0,0.6258114418635766
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.4241119134905083
TR32,0.362286290867875
TR33,0.5772497955643173
HR03,0.7309426942219337
HR02,0.7220595976958673
HU11,0.5664691259463628
HU12,0.7069216630111138
HU21,0.690616580657661
HU22,0.7204640215262771
PT16,0.37091449884076916
PT17,0.3443890459835529
FRF2,0.6208767962952455
FRF3,0.5972348952045043
FRG0,0.7022400291947027
FRH0,0.7323354367565896
FRI1,0.7741447770347197
FRI2,0.7394644286483526
ITC4,0.8672894260380417
ITF1,0.6217780360331138
ITF2,0.5375047381967306
ITF3,0.5743094141284625
ITF4,0.41538285731027524
ITF5,0.48918823964361635
ITF6,0.5211116793255012
ITG1,0.322750299051404
LT01,0.7662377533813317
LT02,0.7784000408525268
LU00,0.8737328087290128
PL22,1.1211348513762156
PL41,0.8005880952613162
PL42,0.8131076120771468
PT18,0.426220859400928
PT20,0.0
PT30,0.0
RO11,0.9950414920846621
RO12,1.1108194773395856
RO21,0.7799131580007573
RO22,0.5435492077842354
RO31,0.7639195536573727
RO32,0.593447890629371
ITH3,0.7611121791104476
ITH4,0.9852726825823387
ITH5,0.6924043498312433
ITI1,0.7178338135903081
ITI2,0.8423579670488834
ITI3,0.6492949994901817
ITI4,0.6408096307888627
LI00,1.1006266285975774
FI1D,0.73574679837163
TR82,1.1646713356354408
TR83,0.8568216195950905
TR90,1.1174461288998525
TRA1,0.967404059569041
TRA2,1.0700619391032629
PL43,0.7923032907769084
PL51,0.7889260609944662
PL52,0.9189160958464656
PL61,0.9176143656174341
PL62,0.8720054771751166
PL63,0.8458306863903999
PL71,0.8130903703692768
PL72,0.9511979000022014
PL81,0.8430075477808714
PL82,1.1223858560125033
PL84,0.716311473151048
PL91,0.7409364075710376
PL92,0.7896306769301494
PT11,0.3530517707268397
PT15,0.26807315200567244
TRB1,0.6657796511116127
TRB2,0.9535580266799245
TRC1,0.5038876883685589
RS12,0.7602001708000898
RS21,0.8753926532653471
RS22,0.7717520756026109
SE11,0.5330213361730178
SE12,0.6052665187666814
NL33,0.7177830090125402
NL34,0.6750075342754523
NL41,0.6838948647181193
NL42,0.5915361779431502
PL21,1.1243711151182652
UKM6,0.9184958375990391
TR22,0.3789839725276189
TRC2,0.49463099806259075
TRC3,0.4344514249158757
UKC1,0.8180285781621933
UKC2,0.7464134996136029
UKD1,0.8590360708534718
UKD3,1.003313417484363
UKD4,1.012884464363257
UKD6,0.826942502707243
UKD7,0.7178724785645803
UKE1,0.8609509194890658
UKE2,0.9213921288649242
UKE3,0.8672561968366305
RO41,0.7998688176739961
RO42,0.8966229649881522
RS11,0.769025428344806
TR41,0.6227944208929936
TR42,0.8124892372637987
TR51,0.7107528624435265
TR52,0.5841193574347666
TR61,0.5267455334708627
TR62,0.5610557177237102
TR63,0.5845125807449222
TR71,0.5932001465931535
TR72,0.7855614960038414
TR81,1.0887112845977147
UKK1,0.8178257917364439
UKK2,0.7774004196127255
UKK3,0.6815361853688955
UKK4,0.8199594430625439
UKL1,0.9513347347799156
UKL2,0.9590659716476997
UKM5,0.9354641062517961
UKM7,0.8257227895781398
UKM8,0.8113285059730212
UKM9,0.7867777674148481
UKN0,0.7762714251875877
SE21,0.5305087303432325
SE22,0.5589479370663564
SE23,0.6915705535560847
SE31,0.698316096461245
SE32,0.8349341900398334
SE33,0.7370762252559264
SI03,0.8153160168478887
SI04,0.918642587463061
SK01,0.666191066801548
SK02,0.8158856852600972
SK03,0.9283578680207332
SK04,0.9164622204999129
TR10,0.3217008319993814
TR21,0.41935298989216485
UKE4,0.8539527098337809
UKF1,0.8696721617132426
UKF2,0.8417115146915118
UKF3,0.8526114310537066
UKG1,0.9080242102344831
UKG2,0.8540371671319008
UKG3,1.0053662449121474
UKH1,0.7074118395646413
UKH2,0.8641657364865144
UKH3,0.8064848681290945
UKI3,0.8571428571428571
UKI4,0.8571428571428571
UKI5,0.8000708046768393
UKI6,0.7736794959221568
UKI7,0.8110703329245249
UKJ1,0.8542315667229039
UKJ2,0.7446418264259894
UKJ3,0.7928055141653333
UKJ4,0.7272166493038337
NO09,0.702371274214238
NO0A,0.9956058678882462
NO0B,0.9191591988007227
HR05,0.7451010962327321
HR06,0.7179849741359552
NO02,0.8996184132993221
NO06,1.0816558794428905
NO07,1.088348218301932
NO08,0.736959516753753
