nuts,June Fire Weather Index (-) ensemble median - RCP8.5 - (2071 - 2100)
DE50,6.7380583624578305
DE60,8.464990010668712
DE71,10.58743187659533
DE72,8.524440113640997
DE73,7.100809634387099
DE80,8.315928163642743
DE91,7.442304191809187
BG41,18.40981835911338
BG42,21.017158222755064
CH01,7.560852416669839
AT32,4.674785567635531
AT33,5.723015342477964
AT34,6.231843881689564
BE10,9.248664224061095
BE23,9.758594160248213
BE24,9.277875073856471
BE25,9.585829988932138
BE31,9.181463904964277
BE32,9.895450607062942
BE33,7.1895306471546325
BE34,7.748057618180197
BE35,8.018159317322867
BG31,21.92059073889402
BG32,19.65266474444593
BG33,21.343708089912543
BG34,20.95712990009274
DE92,7.406237916044629
DE93,8.85009902756969
DE94,8.049384009420855
CZ07,10.289982209937923
CZ08,8.464103748970988
AL01,21.909840285387645
AL02,28.76068382568863
AL03,31.69903490721763
AT11,14.787293287300011
AT12,11.34731910656108
AT13,16.118584380417687
AT21,6.326177919092463
AT22,6.781809229682695
AT31,6.63732932198475
DK05,8.188593618987298
BE21,9.505195113059475
BE22,9.124486190516789
ES43,40.527376891875456
ES51,27.695337924961958
ES52,38.936186290416266
ES53,28.567770450218344
ES61,41.21761398218074
ES62,44.403125673539485
ES63,0.0
ES64,0.0
CH02,7.124806628705515
CH03,7.3618083964529655
CH04,6.684051565278859
CH05,6.615579261683874
CH06,6.501461936916581
CH07,7.238538415136035
CY00,45.05509786662419
CZ01,9.916279338287444
CZ02,9.636428137547856
CZ03,7.809637329119279
CZ04,8.4026520953712
CZ05,8.39041603386787
CZ06,11.815083975846564
DE40,9.978334651880697
EL53,31.603232540652897
EL54,32.33471855287498
EL61,36.02526416420992
EL62,0.0
EL63,40.449491877275385
ES70,0.0
ITC1,14.810728152676134
ITC2,8.28666970341401
DE11,7.5291751565274785
DE12,8.613880303354481
DE13,7.532000091720724
DE14,5.465478123647001
DE21,5.354651142520216
DE22,6.7299564201837825
DE23,7.472439026424
DE24,7.103493642966868
DE25,7.500561328941068
DE26,8.063886858645288
DE27,5.30356682541033
DE30,10.49544815997637
EL42,39.03215245901385
LV00,8.060058897297546
ME00,16.79435127008947
MK00,27.53429410810563
MT00,0.0
NL11,6.91237530145614
NL12,6.799459148356838
EL64,41.75655588467876
EL65,45.635987076873505
ES11,15.396290117190258
ES12,6.76592966954071
ES13,8.578117084966758
ES21,12.447423422851791
ES22,25.810950153415806
ES23,25.510405074239436
ES24,35.52852162311438
ES30,40.03747471340379
IE05,4.186488331119686
IE06,4.287005979343762
IS00,6.774752525481197
ITC3,15.027591423553755
FI19,7.1947365171007025
FI1B,8.931905732662692
FI1C,8.209509189429763
DEA1,7.555553293243139
DEA2,7.781988396924072
DEA3,7.426414382408585
DEA4,6.7436337683416925
DEA5,6.612329984050393
DEB1,9.564788586601907
DEB2,9.366132056575346
DEB3,11.539900148240243
DEC0,10.59971856173625
DED2,8.773666392884092
DED4,6.313002364314485
DED5,9.08744413789226
DEE0,8.8342276619356
DEF0,8.655347311596465
DEG0,6.619298636132759
DK01,10.007993527416621
DK02,8.387331223160489
DK03,7.378116478975063
DK04,7.470812769473887
ES41,31.428295854080865
ES42,43.75045076600766
HU23,18.778339256025127
HU31,19.23896381333625
HU32,20.10246722978998
HU33,19.64988371785565
IE04,3.536585624355811
EE00,7.614074692499302
EL30,56.73876200857212
EL41,46.32546403603928
EL43,50.55644927471764
EL51,26.553542206825796
EL52,28.2905553500725
FI20,8.014995668669824
FR10,15.893252237390488
FRB0,18.489027517898634
FRC1,13.589553363679743
FRC2,10.443593577870672
FRD1,12.544233144646649
FRD2,11.669773388347261
FRE1,10.432888317176078
FRE2,12.798173421359103
FRF1,9.46854111283875
NL13,7.881165068392524
NL21,7.95231305043093
NL22,7.442576285872506
NL23,6.803065146159932
NL31,7.711181380892618
NL32,6.706721910263596
ITG2,37.918384862357456
ITH1,6.954042703742287
ITH2,8.267688699243553
FRI3,16.989965612924742
FRJ1,25.307310378656485
FRJ2,15.690999917475274
FRK1,12.361402278332845
FRK2,14.756999966613206
FRL0,27.21295535078755
FRM0,21.952335492260165
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,49.61939219493275
TR32,47.7892429472713
TR33,44.321089042863775
HR03,17.395223027272515
HR02,15.50205221834931
HU11,19.197080009376197
HU12,19.50705442430497
HU21,18.948927911448
HU22,18.055979236725094
PT16,33.275315022215864
PT17,34.61151193618136
FRF2,12.6148222250872
FRF3,10.285504027102984
FRG0,17.035433578094597
FRH0,13.924828867501152
FRI1,14.346734809662225
FRI2,12.031865130669724
ITC4,16.01716511788456
ITF1,23.549119338140443
ITF2,31.977439089004303
ITF3,31.89151146262732
ITF4,43.389253106659964
ITF5,40.768820829670254
ITF6,31.80432387056256
ITG1,44.679438057499524
LT01,8.722712486549375
LT02,8.95479293640959
LU00,9.1612310603805
PL22,9.289133019212395
PL41,11.694209581316981
PL42,9.528747089757273
PT18,38.9694248090678
PT20,0.0
PT30,0.0
RO11,12.067318798613028
RO12,10.562451739403542
RO21,15.757481293940053
RO22,24.546180065755088
RO31,19.371146244383972
RO32,19.774609885904752
ITH3,13.509358716430997
ITH4,8.725847800989376
ITH5,22.346387551584662
ITI1,22.45971117174044
ITI2,26.26150425232528
ITI3,25.108481409672216
ITI4,25.43091795326799
LI00,4.3156473424063115
FI1D,4.83623144569434
TR82,23.51574893372499
TR83,27.58691681956977
TR90,16.946265017431035
TRA1,32.4138046927204
TRA2,23.612709279968385
PL43,11.4619239878844
PL51,9.43981995885571
PL52,10.568225207438267
PL61,9.804774792807915
PL62,8.875823614064407
PL63,9.053332940403966
PL71,11.631464009019147
PL72,9.758978177967927
PL81,10.194049592930362
PL82,8.746073372386315
PL84,8.747119503970078
PL91,10.702934964390204
PL92,9.953723265328092
PT11,25.75003230964978
PT15,39.13827753206718
TRB1,51.85807820952194
TRB2,54.06740399095437
TRC1,57.15784610994174
RS12,19.54886872048816
RS21,17.483684145924357
RS22,22.42469118246794
SE11,9.562879468841269
SE12,9.673460059906454
NL33,7.6659597296633715
NL34,8.94278269943286
NL41,9.013484879679133
NL42,8.785084670131257
PL21,7.292713288423259
UKM6,2.801417229497097
TR22,41.515303160916
TRC2,64.32387356307694
TRC3,64.82070035930899
UKC1,5.19123159695464
UKC2,4.55310926629906
UKD1,2.9510557837106832
UKD3,3.936241755111102
UKD4,3.0592818923262675
UKD6,4.525275374970746
UKD7,3.9474038646431016
UKE1,6.396270042711422
UKE2,5.260718055837959
UKE3,6.542607206697906
RO41,20.44701403343644
RO42,13.974568615190547
RS11,19.125358434930693
TR41,36.92775096936082
TR42,21.800995763037673
TR51,40.60006724903775
TR52,45.87839889013784
TR61,38.886954615833744
TR62,37.74508134669508
TR63,47.871159147784866
TR71,44.2679205149843
TR72,41.529699750682816
TR81,17.438836903061826
UKK1,7.359849853056164
UKK2,7.118384904408909
UKK3,6.075435612830173
UKK4,5.80910365776221
UKL1,3.831994662472746
UKL2,4.711005691796272
UKM5,3.346415402742882
UKM7,3.8734467029556496
UKM8,3.482969736255654
UKM9,3.658536796012514
UKN0,3.6512594395348414
SE21,9.291748365875323
SE22,8.954966372426123
SE23,8.93816212444092
SE31,6.565046924301451
SE32,5.263279699903737
SE33,5.496966565477268
SI03,12.18282186556119
SI04,11.03698737783727
SK01,17.87894274612766
SK02,16.14314903828732
SK03,9.695881398737349
SK04,10.312003650573363
TR10,25.52757916095672
TR21,31.975949372213567
UKE4,5.206162150567975
UKF1,6.752948815423274
UKF2,8.266657106305802
UKF3,7.659300081684679
UKG1,7.066611763944136
UKG2,5.901137675391955
UKG3,6.837457834218518
UKH1,7.8260748222802246
UKH2,8.318006896240568
UKH3,8.085311864780941
UKI3,8.981118835961283
UKI4,8.84019316882825
UKI5,8.680641094708557
UKI6,8.66575638692574
UKI7,8.503423733613367
UKJ1,8.048779398538304
UKJ2,8.8213834149094
UKJ3,8.322030557451932
UKJ4,8.417625190493922
NO09,7.651883040891289
NO0A,10.359603106655404
NO0B,0.0
HR05,15.592511991497503
HR06,15.593438097095511
NO02,5.246473220326991
NO06,5.016401938552641
NO07,8.016564120330468
NO08,6.50290285968032
